Plot no.,Species,Dbh,Status,Decay Class,Con Class (Fule),per ha conversion,Annual Growth to Subtract,25% Death Date,25% 1922 DBH (dib),25% 1922 DBH (dob),25% 1922 Size bin ,25% 1922 BA (m²),25% 1922 Density (ha-1),50% Death Date,50% 1922 DBH (dib),50% 1922 DBH (dob),50% 1922 Size bin,50% 1922 BA (m²),50% 1922 Density (ha-1),75% Death Date,75% 1922 DBH (dib),75% 1922 DBH (dob),75% 1922 Size bin,75% 1922 BA (m²),75% 1922 Density (ha-1)
119,QUGA,6.9,2,5,6,25,0.075609756,1969,4.253658537,4.253658537,sap,0.001421072,0,1963,3.8,3.8,sap,0.001134118,0,1985,5.463414634,5.463414634,1,0.002344333,25
119,QUGA,6.9,2,3,4,25,0.075609756,1996,6.295121951,6.295121951,1,0.003112427,25,2000,6.597560976,6.597560976,1,0.003418674,25,2002,6.748780488,6.748780488,1,0.003577186,25
119,QUGA,7,3,5,6,25,0.075609756,1969,4.353658537,4.353658537,sap,0.001488674,0,1956,3.370731707,3.370731707,sap,0.000892358,0,1982,5.336585366,5.336585366,1,0.002236752,25
119,QUGA,7,2,4,5,25,0.075609756,1986,5.63902439,5.63902439,1,0.002497462,25,1995,6.319512195,6.319512195,1,0.003136592,25,1998,6.546341463,6.546341463,1,0.003365799,25
119,QUGA,7,2,4,5,25,0.075609756,1986,5.63902439,5.63902439,1,0.002497462,25,1995,6.319512195,6.319512195,1,0.003136592,25,1998,6.546341463,6.546341463,1,0.003365799,25
119,QUGA,7.7,3,5,6,25,0.075609756,1969,5.053658537,5.053658537,1,0.00200587,25,1956,4.070731707,4.070731707,sap,0.001301475,0,1982,6.036585366,6.036585366,1,0.002862026,25
119,QUGA,8.1,3,4,5,25,0.075609756,1986,6.73902439,6.73902439,1,0.003566851,25,1995,7.419512195,7.419512195,1,0.004323561,25,1998,7.646341463,7.646341463,1,0.004591962,25
119,QUGA,8.3,2,4,5,25,0.075609756,1986,6.93902439,6.93902439,1,0.003781706,25,1995,7.619512195,7.619512195,1,0.004559794,25,1998,7.846341463,7.846341463,1,0.004835321,25
119,QUGA,8.5,2,5,6,25,0.075609756,1969,5.853658537,5.853658537,1,0.002691198,25,1963,5.4,5.4,1,0.002290226,25,1985,7.063414634,7.063414634,1,0.003918504,25
119,QUGA,12.5,3,4,5,25,0.075609756,1986,11.13902439,11.13902439,1,0.009745075,25,1995,11.8195122,11.8195122,1,0.010972106,25,1998,12.04634146,12.04634146,1,0.01139728,25
119,QUGA,18.8,3,4,5,25,0.075609756,1986,17.43902439,17.43902439,2,0.023885551,25,1995,18.1195122,18.1195122,2,0.025785995,25,1998,18.34634146,18.34634146,2,0.026435641,25
120,PSME,22.3,2,6,7,25,0.190243902,1908,4.036585366,4.474520732,0,0.001572476,0,1978,17.35365854,20.13406707,2,0.031838597,25,1991,19.82682927,23.04226854,2,0.04170051,25
120,QUGA,5.1,2,5,6,25,0.075609756,1969,2.453658537,2.453658537,sap,0.000472845,0,1963,2,2,sap,0.00031416,0,1985,3.663414634,3.663414634,sap,0.001054054,0
121,PIST,14,3,4,5,25,0.136585366,1986,11.54146341,11.54146341,1,0.01046195,25,1995,12.77073171,12.77073171,1,0.012809213,25,1998,13.1804878,13.1804878,1,0.013644382,25
121,PIST,28,4,6,8,25,0.136585366,1922,16.8,19.15216,2,0.028808883,25,1963,22.4,25.45328,2,0.050883668,25,1985,25.40487805,28.83436878,3,0.065299791,25
