Transect,Plot #,Tree #,treeline pos.,Core,Species,Age,Status,Ht.,Decay,CONCLASS,Az.,x,y,2013 DBH,Dist.,AZMTH,x0,y0,X.calc,y.calc,x.abs,y.abs,BA 2013 (m^2/ha),Estab. Year,25% Death Date,50% Death Date,75% Death Date, 25% alive 1900,25% alive 1910, 25% alive 1920, 25% alive 1930, 25% alive 1940, 25% alive 1950, 25% alive 1960, 25% alive 1970, 25% alive 1980, 25% alive 1990, 25% alive 2000, 25% alive 2010,25% alive 2013,50% alive 1900,50% alive 1910,50% alive 1920,50% alive 1930,50% alive 1940,50% alive 1950,50% alive 1960,50% alive 1970,50% alive 1980,50% alive 1990,50% alive 2000,50% alive 2010,50% alive 2013,75% alive 1900,75% alive 1910,75% alive 1920,75% alive 1930,75% alive 1940,75% alive 1950,75% alive 1960,75% alive 1970,75% alive 1980,75% alive 1990,75% alive 2000,75% alive 2010,75% alive 2013
1,17,21,B,No,ABBI,97,6,-,4,8,124,7.2,622.8,12.9,8.31,240,0,627,-7.196671105,622.845,7.196671105,622.845,0.013069841,1916,1962,1987,2002,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0
1,17,8,B,No,PIEN,100,2,-,2,3,-,4.2,621.7,14.7,6.75,218,0,627,-4.155714958,621.6809274,4.155714958,621.6809274,0.016971709,1913,2012,2012,2012,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0
1,17,13,B,No,PIEN,85,2,-,2,3,-,6.5,618.6,5.4,10.61,218,0,627,-6.532168253,618.6392059,6.532168253,618.6392059,0.002290226,1928,2012,2012,2012,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0
1,16,5,A,No,PIEN,188,3,-,5,6,-,4.0,460.9,66.5,16.57,194,0,477,-4.00864581,460.9221998,4.00864581,460.9221998,0.347323515,1825,1974,1993,2005,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0
1,16,6,A,No,PIEN,191,2,-,5,4,-,4.5,468.9,68.4,9.3,209,0,477,-4.508729468,468.8660367,4.508729468,468.8660367,0.367454102,1822,2005,2009,2011,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
1,16,3,A,No,ABBI,99,6,-,2,8,334,0.3,462.6,14,14.44,181,0,477,-0.252012749,462.5621993,0.252012749,462.5621993,0.01539384,1914,1962,1987,2002,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0
1,16,4,A,No,PIEN,177,6,-,7,8,13,4.1,461.6,60,15.9,195,0,477,-4.115222817,461.6417794,4.115222817,461.6417794,0.282744,1836,1952,1983,2000,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0
1,15,34,A,No,ABBI,131,2,4,1,3,-,7.3,461.7,32.6,9.06,234,0,467,-7.329693969,461.6746656,7.329693969,461.6746656,0.08346917,1882,2012,2012,2012,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
1,15,38,A,No,ABBI,110,2,5,3,3,-,8.2,463.2,20.1,9.1,245,0,467,-8.247400862,463.1541738,8.247400862,463.1541738,0.031730945,1903,2012,2012,2012,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
1,15,37,A,No,ABBI,106,2,5,2,3,-,8.7,462.2,18,9.91,241,0,467,-8.667481298,462.1955367,8.667481298,462.1955367,0.02544696,1907,2012,2012,2012,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
