Plot no.,Species,DBH (2004),2004 size bin,known age,predicted age,2004 age bin, 2004 Density (ha-1),2004BA (m2),Distance from 1922 (cm),DBH (1922),1922 size bin,1922 Density (ha-1),1922 BA (m2),,,,,,
6,QUGA,14,1,0,85,5,25,0.0153938,3.1,7.8,1,25,0.004778,,,,,,
6,QUGA,15,1,126,126,7,25,0.0176715,3.1,8.8,1,25,0.006082,,,,,,
6,QUGA,15.8,1,0,88,5,25,0.0196067,3.1,9.6,1,25,0.007238,,,,,,
6,QUGA,16.2,2,0,92,5,25,0.0206120,3.1,10.0,1,25,0.007854,,,,,,
6,QUGA,17.7,2,0,95,5,25,0.0246058,3.1,11.5,1,25,0.010387,,,,,,
6,QUGA,18.7,2,0,95,5,25,0.0274647,3.1,12.5,1,25,0.012272,,,,,,
6,QUGA,18.8,2,0,95,5,25,0.0277592,3.1,12.6,1,25,0.012469,,,,,,
7,PSME,25.4,2,0,114,6,25,0.0506709,7.8,9.8,1,25,0.007543,,,,,,
8,PSME,22.3,2,0,106,6,25,0.0390572,7.8,6.7,1,25,0.003526,,,,,,
8,PSME,26,3,119,119,6,25,0.0530930,7.8,10.4,1,25,0.008495,,,,,,
8,PSME,29.1,3,141,141,8,25,0.0665085,7.8,13.5,1,25,0.014314,,,,,,
8,PSME,30.9,3,0,128,7,25,0.0749908,7.8,15.3,1,25,0.018385,,,,,,
8,PSME,31.1,3,0,128,7,25,0.0759647,7.8,15.5,1,25,0.018869,,,,,,
8,PSME,31.2,3,0,132,7,25,0.0764540,7.8,15.6,1,25,0.019113,,,,,,
8,QUGA,12.1,1,115,115,6,25,0.0114990,3.1,5.9,1,25,0.002734,,,,,,
8,QUGA,12.5,1,121,121,7,25,0.0122719,3.1,6.3,1,25,0.003117,,,,,,
8,QUGA,12.9,1,0,81,5,25,0.0130698,3.1,6.7,1,25,0.003526,,,,,,
8,QUGA,13.2,1,0,82,5,25,0.0136848,3.1,7.0,1,25,0.003848,,,,,,
9,PIST,17,2,0,87,5,25,0.0226981,5.6,5.8,1,25,0.002642,,,,,,
9,PIST,20.1,2,123,123,7,25,0.0317309,5.6,8.9,1,25,0.006221,,,,,,
9,QUGA,12.2,1,0,81,5,25,0.0116899,3.1,6.0,1,25,0.002827,,,,,,
9,QUGA,13,1,147,147,8,25,0.0132733,3.1,6.8,1,25,0.003632,,,,,,
9,QUGA,15.7,1,0,87,5,25,0.0193593,3.1,9.5,1,25,0.007088,,,,,,
9,QUGA,15.7,1,0,89,5,25,0.0193593,3.1,9.5,1,25,0.007088,,,,,,
10,PIST,19.3,2,104,104,6,25,0.0292554,5.6,8.1,1,25,0.005153,,,,,,
10,PIST,19.5,2,0,96,5,25,0.0298648,5.6,8.3,1,25,0.005411,,,,,,
10,PIST,20.3,2,98,98,5,25,0.0323655,5.6,9.1,1,25,0.006504,,,,,,
10,PIST,22.6,2,115,115,6,25,0.0401151,5.6,11.4,1,25,0.010207,,,,,,
